trade_id,pattern_type,timeframe,direction,detection_time,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,shares,gross_pnl,costs,net_pnl,r_multiple,mtf_score,confidence
77,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-03-24 00:00:00+00:00,277.722,210.71,478.7579999999999,2025-04-24 00:00:00+00:00,308.55296000000004,timeout,23,709.1120800000015,10.792004799999999,698.3200752000015,0.4530791858174667,3,0.7868585329014944
78,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-03-27 00:00:00+00:00,282.015432,210.71,495.9317279999999,2025-04-28 00:00:00+00:00,307.47382400000004,timeout,22,560.0846240000013,10.379343603199999,549.7052803968013,0.3504165524780787,3,0.7868585329014944
79,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-03-31 00:00:00+00:00,288.01022399999994,210.71,519.9108959999998,2025-05-01 00:00:00+00:00,298.221232,timeout,21,214.43116800000104,9.852699763199999,204.57846823680103,0.12602591967650775,3,0.7868585329014944
80,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-04-03 00:00:00+00:00,287.32968,210.71,517.18872,2025-05-05 00:00:00+00:00,307.05416,timeout,21,414.2140800000006,9.989778624,404.2243013760006,0.2512249627771877,3,0.7868585329014944
81,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-04-07 00:00:00+00:00,275.01984,210.71,467.94935999999996,2025-05-08 00:00:00+00:00,305.40548,timeout,26,790.0266400000006,12.077932672,777.9487073280006,0.4652647888410239,3,0.7868585329014944
82,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-04-10 00:00:00+00:00,294.23519999999996,210.71,544.8107999999999,2025-05-12 00:00:00+00:00,298.141296,timeout,20,78.12192000000096,9.4818432,68.64007680000095,0.04108944174931697,3,0.7868585329014944
83,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-04-14 00:00:00+00:00,296.46698399999997,210.71,553.7379359999998,2025-05-15 00:00:00+00:00,298.351128,timeout,20,37.68288000000098,9.520911743999998,28.161968256000982,0.01641963542934357,3,0.7868585329014944
84,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-04-17 00:00:00+00:00,306.45496799999995,210.71,593.6898719999997,2025-05-19 00:00:00+00:00,296.46264,timeout,18,-179.86190399999873,8.685431539199998,-188.54733553919874,-0.10940368139660286,3,0.7868585329014944
85,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-04-21 00:00:00+00:00,316.95336,210.71,635.6834399999999,2025-05-22 00:00:00+00:00,303.74680800000004,timeout,17,-224.51138399999883,8.444829696,-232.95621369599883,-0.1289803587537135,3,0.7868585329014944
86,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-04-24 00:00:00+00:00,309.04704,210.71,604.0581599999998,2025-05-27 00:00:00+00:00,304.746008,timeout,18,-77.41857599999935,8.842133376,-86.26070937599934,-0.04873302706691156,3,0.7868585329014944
87,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-04-28 00:00:00+00:00,307.966176,210.71,599.7347040000001,2025-05-29 00:00:00+00:00,305.2556,timeout,19,-51.50094400000006,9.3246858752,-60.825629875200065,-0.0329166647555627,3,0.7868585329014944
88,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-05-01 00:00:00+00:00,298.698768,210.71,562.6650719999999,2025-06-02 00:00:00+00:00,311.90028,timeout,21,277.23175200000077,10.262259302399999,266.96949269760074,0.14448245241483595,3,0.7868585329014944
89,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-05-05 00:00:00+00:00,307.54584,210.71,598.05336,2025-06-05 00:00:00+00:00,309.55216,timeout,19,38.120080000000314,9.383656767999998,28.736423232000316,0.01561863177930833,3,0.7868585329014944
90,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-05-08 00:00:00+00:00,305.89451999999994,210.71,591.4480799999998,2025-06-09 00:00:00+00:00,306.29476800000003,timeout,20,8.004960000001802,9.798952319999998,-1.7939923199981962,-0.0009423760922459858,3,0.7868585329014944
91,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-05-12 00:00:00+00:00,298.618704,210.71,562.3448159999999,2025-06-12 00:00:00+00:00,312.69964,timeout,22,309.7805920000002,10.763609190399999,299.01698280960017,0.1546113230926486,3,0.7868585329014944
92,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-05-15 00:00:00+00:00,298.82887199999993,210.71,563.1854879999997,2025-06-16 00:00:00+00:00,313.209232,timeout,22,316.36792000000116,10.776284147199998,305.5916358528012,0.15763398449312951,3,0.7868585329014944
93,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-05-19 00:00:00+00:00,296.93735999999996,210.71,555.6194399999997,2025-06-20 00:00:00+00:00,309.752,timeout,22,281.9220800000012,10.682097535999997,271.2399824640012,0.14298350444684912,3,0.7868585329014944
94,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-05-22 00:00:00+00:00,304.233192,210.71,584.8027679999998,2025-06-23 00:00:00+00:00,307.90348,timeout,20,73.40576000000056,9.798131071999999,63.60762892800056,0.03400633980072054,3,0.7868585329014944
95,Double_Bottom,1d,long,2024-06-07 00:00:00+00:00,2025-05-27 00:00:00+00:00,305.233992,210.71,588.8059679999999,2025-06-27 00:00:00+00:00,301.49860800000005,timeout,20,-74.70767999999907,9.711583871999999,-84.41926387199908,-0.0446549400241153,3,0.7868585329014944
